nama,daerah,provinsi,pulau,bahan_utama,metode_memasak,tingkat_kepedasan,kategori_diet,deskripsi
Gulai Belacan,Riau,Riau,Sumatera,Udang,Dimasak dengan santan,Pedas,Non-Vegetarian,"Udang dimasak dalam kuah santan kental dengan belacan (terasi) Melayu. Aroma tajam dan rasa gurih yang kuat."
Lempuk Durian,Bengkalis,Riau,Sumatera,Durian,Dimasak / Dipanaskan,Tidak Pedas,Vegan,"Dodol berbahan dasar durian asli tanpa campuran, bertekstur kenyal dan beraroma kuat. Oleh-oleh khas Riau."
Kue Bangkit,Riau,Riau,Sumatera,Tepung Sagu,Dipanggang,Tidak Pedas,Vegetarian,"Kue kering dari tepung sagu dan santan yang meleleh di mulut. Kue tradisional Melayu yang populer saat Lebaran."
Gangan,Bangka,Kepulauan Bangka Belitung,Sumatera,Ikan / Nanas,Direbus,Pedas,Non-Vegetarian,"Sup asam pedas khas Bangka dengan ikan dan nanas. Kuah bening segar dengan rasa asam dari nanas dan pedas dari cabai."
Mi Bangka,Bangka,Kepulauan Bangka Belitung,Sumatera,Ikan / Udang,Direbus,Sedang,Non-Vegetarian,"Mie kuning dengan topping daging ikan atau udang dalam kuah kental gurih. Khas kuliner Bangka yang dipengaruhi Tionghoa."
Koba,Bangka,Kepulauan Bangka Belitung,Sumatera,Tepung Beras,Dikukus,Tidak Pedas,Vegan,"Kue tradisional Bangka dari tepung beras dan gula aren yang dikukus dalam anyaman daun kelapa."
Martabak Bangka,Bangka,Kepulauan Bangka Belitung,Sumatera,Telur / Tepung,Digoreng,Tidak Pedas,Vegetarian,"Martabak tebal berisi telur dan bawang yang digoreng di wajan datar. Berbeda dengan martabak manis, ini versi gurih renyah."
Sate Mak Syik,Jambi,Jambi,Sumatera,Daging Sapi,Dibakar,Sedang,Non-Vegetarian,"Sate daging sapi khas Jambi dengan bumbu kacang yang gurih dan sedikit manis. Disajikan dengan lontong dan acar."
Gulai Tepek Ikan,Jambi,Jambi,Sumatera,Ikan Gabus,Dimasak dengan santan,Sedang,Non-Vegetarian,"Olahan ikan gabus yang dihaluskan lalu dibentuk menjadi lempengan dan dimasak dalam kuah gulai santan khas Jambi."
Kue Padamaran,Jambi,Jambi,Sumatera,Santan / Tepung Beras,Dikukus,Tidak Pedas,Vegan,"Kue hijau dari tepung beras dan santan yang dikukus dalam daun pisang. Bertekstur lembut dengan aroma pandan khas."
Pendap,Bengkulu,Bengkulu,Sumatera,Ikan,Dibungkus dan Dikukus,Pedas,Non-Vegetarian,"Ikan berbumbu rempah yang dibungkus daun talas lalu dikukus hingga matang. Rasa gurih pedas dengan aroma daun talas yang unik."
Lema,Rejang Lebong,Bengkulu,Sumatera,Rebung / Ikan,Difermentasi,Sedang,Non-Vegetarian,"Makanan fermentasi dari rebung bambu muda dicampur ikan. Aroma fermentasi kuat, khas kuliner masyarakat Rejang Bengkulu."
Tempoyak,Bengkulu / Lampung,Bengkulu,Sumatera,Durian,Difermentasi,Pedas,Vegan,"Durian yang difermentasi hingga asam, digunakan sebagai bumbu atau lauk. Rasa asam gurih yang unik dan khas Sumatera."
Seruit,Lampung,Lampung,Sumatera,Ikan Sungai,Dibakar / Direbus,Pedas,Non-Vegetarian,"Ikan sungai dibakar atau direbus lalu disantap dengan sambal tempoyak atau terasi. Hidangan tradisional suku Lampung."
Geguduh,Lampung,Lampung,Sumatera,Pisang / Tepung,Digoreng,Tidak Pedas,Vegan,"Pisang yang dihaluskan dicampur tepung lalu digoreng. Camilan tradisional Lampung yang manis dan renyah."
Pindang Patin,Palembang / Lampung,Lampung,Sumatera,Ikan Patin,Direbus,Pedas,Non-Vegetarian,"Ikan patin dalam kuah asam segar dengan cabai dan rempah. Segar, gurih, dan sedikit pedas, populer di Sumatera bagian selatan."
Nasi Goreng,Jakarta,DKI Jakarta,Jawa,Nasi,Ditumis / Digoreng,Sedang,Non-Vegetarian,"Nasi yang ditumis dengan bumbu kecap, bawang, dan cabai. Ditambah telur, ayam, atau seafood. Ikon kuliner Indonesia."
Kerak Telor,Jakarta,DKI Jakarta,Jawa,Telur / Beras Ketan,Dipanggang,Tidak Pedas,Non-Vegetarian,"Omelette tradisional Betawi dari beras ketan, telur, dan ebi yang dipanggang di atas arang. Ditaburi serundeng dan bawang goreng."
Soto Betawi,Jakarta,DKI Jakarta,Jawa,Daging Sapi,Direbus,Sedang,Non-Vegetarian,"Soto berkuah santan atau susu dengan daging sapi, jeroan, dan tomat. Kaya rempah dengan taburan emping dan bawang goreng."
Gado-Gado,Jakarta,DKI Jakarta,Jawa,Sayuran,Direbus / Dikukus,Tidak Pedas,Vegan,"Sayuran rebus dengan saus kacang yang kental dan gurih. Dilengkapi lontong, telur, dan kerupuk. Salah satu ikon kuliner Indonesia."
Ketoprak,Jakarta,DKI Jakarta,Jawa,Tahu / Bihun,Tidak Dimasak (mentah),Tidak Pedas,Vegan,"Tahu, bihun, dan sayuran dengan bumbu kacang, kecap, dan bawang goreng. Makanan jalanan khas Jakarta yang menyegarkan."
Asinan Betawi,Jakarta,DKI Jakarta,Jawa,Sayuran / Buah,Diasinkan / Difermentasi,Sedang,Vegan,"Sayuran atau buah dalam kuah cuka asam pedas manis. Tersedia versi sayur dan buah, populer sebagai jajanan segar Jakarta."
Rujak Juhi,Jakarta,DKI Jakarta,Jawa,Cumi Kering (Juhi),Tidak Dimasak,Sedang,Non-Vegetarian,"Cumi kering dipanggang dan disajikan dengan sayuran, ketupat, dan saus petis khas Betawi. Kuliner langka yang mulai jarang ditemui."
Bakso,Nationwide (asal Solo),Jawa Tengah,Jawa,Daging Sapi,Direbus,Tidak Pedas,Non-Vegetarian,"Bola daging sapi kenyal dalam kuah kaldu bening. Disajikan dengan mie, bihun, tahu, dan pelengkap lainnya. Makanan rakyat nasional."
Nasi Liwet,Solo,Jawa Tengah,Jawa,Beras,Dimasak dengan santan,Tidak Pedas,Non-Vegetarian,"Nasi yang dimasak dengan santan dan kaldu ayam. Disajikan dengan ayam opor, telur, sayur labu, dan sambal goreng hati."
Tengkleng,Solo,Jawa Tengah,Jawa,Tulang Kambing,Direbus,Sedang,Non-Vegetarian,"Sup tulang kambing dengan kuah bening yang gurih dan sedikit berminyak. Kaya kolagen, khas kuliner Solo yang hangat dan lezat."
Sate Buntel,Solo,Jawa Tengah,Jawa,Daging Kambing,Dibakar,Tidak Pedas,Non-Vegetarian,"Daging kambing cincang yang dibungkus lemak lalu dibakar. Tekstur juicy dengan rasa smoky khas arang, spesialitas Solo."
Timlo Solo,Solo,Jawa Tengah,Jawa,Ayam,Direbus,Tidak Pedas,Non-Vegetarian,"Sup bening dengan isian sosis Solo, telur pindang, ati ampela, dan sayuran. Rasa ringan dan hangat, sarapan favorit warga Solo."
Gudeg,Yogyakarta,DI Yogyakarta,Jawa,Nangka Muda,Dimasak lambat (slow-cook),Tidak Pedas,Vegan,"Nangka muda dimasak perlahan dengan santan dan gula aren hingga berwarna coklat kehitaman. Rasa manis gurih khas Yogyakarta."
Sate Klatak,Bantul,DI Yogyakarta,Jawa,Daging Kambing,Dibakar,Tidak Pedas,Non-Vegetarian,"Sate kambing yang dibakar menggunakan jeruji besi (bukan tusuk bambu) sehingga matang merata. Bumbu sederhana garam dan merica."
Oseng-Oseng Mercon,Yogyakarta,DI Yogyakarta,Jawa,Daging Sapi,Ditumis,Sangat Pedas,Non-Vegetarian,"Tumisan kikil dan daging sapi dengan cabai rawit dalam jumlah besar. Nama 'mercon' (petasan) menggambarkan rasa pedasnya."
Bakpia,Yogyakarta,DI Yogyakarta,Jawa,Kacang Hijau / Keju,Dipanggang,Tidak Pedas,Vegetarian,"Kue bulat pipih berisi pasta kacang hijau yang dipanggang hingga kecoklatan. Oleh-oleh wajib dari Yogyakarta."
Pecel Lele,Lamongan,Jawa Timur,Jawa,Ikan Lele,Digoreng,Sedang,Non-Vegetarian,"Ikan lele goreng renyah disajikan dengan sambal tomat pedas dan lalapan segar. Warung pecel lele ada di seluruh Indonesia."
Rawon,Surabaya,Jawa Timur,Jawa,Daging Sapi,Direbus,Sedang,Non-Vegetarian,"Sup daging sapi berkuah hitam dari kluwek. Disajikan dengan nasi, tauge, telur asin, dan kerupuk udang. Ikon kuliner Jawa Timur."
Rujak Cingur,Surabaya,Jawa Timur,Jawa,Cingur (Moncong Sapi),Tidak Dimasak,Sedang,Non-Vegetarian,"Cingur (moncong sapi) rebus dicampur sayuran dan buah dengan bumbu petis hitam yang kuat. Kuliner khas Surabaya."
Lontong Balap,Surabaya,Jawa Timur,Jawa,Lontong / Tahu,Direbus,Sedang,Non-Vegetarian,"Lontong dengan tahu goreng, tauge, lentho, bawang goreng, dan kuah kaldu petis. Sarapan jalanan khas Surabaya."
Soto Lamongan,Lamongan,Jawa Timur,Jawa,Ayam,Direbus,Tidak Pedas,Non-Vegetarian,"Soto ayam berkuah kuning bening dengan suwiran ayam, telur, dan koya (bubuk kerupuk udang). Gurih dan ringan khas Lamongan."
Semanggi Surabaya,Surabaya,Jawa Timur,Jawa,Daun Semanggi,Tidak Dimasak,Tidak Pedas,Vegan,"Daun semanggi rebus dengan tauge dan kerupuk puli, disiram bumbu petis encer manis. Jajanan unik yang mulai langka."
Nasi Pecel,Madiun,Jawa Timur,Jawa,Sayuran,Direbus,Sedang,Vegan,"Berbagai sayuran rebus dengan sambal kacang khas Madiun yang pedas manis. Disajikan di atas nasi dengan rempeyek dan emping."
Bebek Sinjai,Madura,Jawa Timur,Jawa,Bebek,Digoreng,Sedang,Non-Vegetarian,"Bebek digoreng hingga sangat renyah dengan bumbu rempah khas Madura. Disajikan dengan sambal petis yang kuat dan nasi."
Soto Madura,Madura,Jawa Timur,Jawa,Daging Sapi,Direbus,Sedang,Non-Vegetarian,"Soto berkuah kuning dengan potongan daging sapi dan jeroan. Khas dengan aroma rempah kuat dan sambal cabe rawit Madura."
Ayam Taliwang,Lombok,Nusa Tenggara Barat,Bali dan Nusa Tenggara,Ayam,Dibakar / Digoreng,Sangat Pedas,Non-Vegetarian,"Ayam kampung muda dibakar atau digoreng dengan bumbu cabai merah, terasi, dan rempah Lombok. Pedas membakar khas NTB."
Pelecing Kangkung,Lombok,Nusa Tenggara Barat,Bali dan Nusa Tenggara,Kangkung,Direbus,Sangat Pedas,Vegan,"Kangkung rebus dengan sambal tomat pedas yang segar dan mentah. Sambal dibuat dari cabai rawit, tomat, terasi, dan jeruk nipis."
Beberuk Terong,Lombok,Nusa Tenggara Barat,Bali dan Nusa Tenggara,Terong,Dibakar,Pedas,Vegan,"Terong dan kacang panjang yang dibakar lalu disiram sambal mentah segar. Cocok sebagai pelengkap ayam taliwang."
Sate Rembiga,Mataram,Nusa Tenggara Barat,Bali dan Nusa Tenggara,Daging Sapi,Dibakar,Pedas,Non-Vegetarian,"Sate daging sapi dengan bumbu manis pedas khas Lombok. Nama 'rembiga' dari kelurahan tempat sate ini berasal di Mataram."
Se'i Sapi,Kupang,Nusa Tenggara Timur,Bali dan Nusa Tenggara,Daging Sapi,Diasap,Tidak Pedas,Non-Vegetarian,"Daging sapi yang diasap perlahan menggunakan kayu kusambi hingga kering dan beraroma khas. Protein tradisional masyarakat NTT."
Catemak Jagung,Kupang,Nusa Tenggara Timur,Bali dan Nusa Tenggara,Jagung,Direbus,Tidak Pedas,Vegan,"Bubur jagung dengan kacang-kacangan dan sayuran. Makanan pokok masyarakat NTT yang sederhana dan bergizi tinggi."
Jagung Bose,Kupang,Nusa Tenggara Timur,Bali dan Nusa Tenggara,Jagung,Direbus,Tidak Pedas,Vegan,"Jagung pipil yang dimasak bersama kacang merah dan kacang hijau hingga lembek seperti bubur. Makanan tradisional Timor."
Babi Guling,Bali,Bali,Bali dan Nusa Tenggara,Babi,Dipanggang / Diputar,Sedang,Non-Vegetarian,"Babi utuh yang isi perutnya diisi rempah lalu dipanggang sambil diputar di atas bara api. Hidangan upacara adat Bali."
Lawar,Bali,Bali,Bali dan Nusa Tenggara,Daging / Sayuran,Tidak Dimasak / Direbus,Pedas,Non-Vegetarian,"Campuran sayuran cincang, kelapa parut, dan daging dengan bumbu bali khas. Ada lawar merah (dengan darah) dan lawar putih."
Betutu,Gianyar,Bali,Bali dan Nusa Tenggara,Ayam / Bebek,Dipanggang perlahan,Pedas,Non-Vegetarian,"Ayam atau bebek diisi bumbu base genep lalu dibungkus dan dipanggang perlahan dalam sekam padi berjam-jam."
Jukut Urab,Bali,Bali,Bali dan Nusa Tenggara,Sayuran,Direbus,Tidak Pedas,Vegan,"Sayuran rebus yang dicampur dengan parutan kelapa berbumbu. Salad tradisional Bali yang segar dan bergizi."
Sate Lilit,Bali,Bali,Bali dan Nusa Tenggara,Ikan / Ayam,Dibakar,Sedang,Non-Vegetarian,"Daging giling yang dililitkan pada batang serai atau bambu lalu dibakar. Bumbu bumbu Bali yang aromatik dan gurih."
Nasi Campur Bali,Bali,Bali,Bali dan Nusa Tenggara,Beragam,Beragam,Sedang,Non-Vegetarian,"Nasi putih dengan berbagai lauk khas Bali: ayam betutu, sate lilit, lawar, jukut, dan sambal matah. Representasi lengkap kuliner Bali."
Sambal Matah,Bali,Bali,Bali dan Nusa Tenggara,Cabai / Bawang,Tidak Dimasak,Pedas,Vegan,"Sambal mentah segar dari irisan bawang merah, cabai, serai, daun jeruk, dan minyak kelapa. Aromatik dan segar khas Bali."
Coto Makassar,Makassar,Sulawesi Selatan,Sulawesi,Jeroan Sapi,Direbus,Sedang,Non-Vegetarian,"Sup jeroan sapi dalam kuah kacang yang kental dan gelap. Disajikan dengan burasa (lontong khas Makassar) dan sambal tauco."
Konro,Makassar,Sulawesi Selatan,Sulawesi,Iga Sapi,Direbus,Sedang,Non-Vegetarian,"Iga sapi dalam kuah hitam pekat dari kluwek dan rempah. Ada versi berkuah (sup konro) dan dibakar (konro bakar)."
Palubasa,Makassar,Sulawesi Selatan,Sulawesi,Jeroan Sapi,Direbus,Sedang,Non-Vegetarian,"Mirip coto namun kuahnya lebih encer dan segar. Sup jeroan sapi dengan kelapa gongseng yang memberikan rasa unik."
Pisang Epe,Makassar,Sulawesi Selatan,Sulawesi,Pisang,Dipanggang / Dipress,Tidak Pedas,Vegan,"Pisang kepok setengah matang yang dipres dan dibakar, disiram saus gula merah. Jajanan pantai Losari khas Makassar."
Kapurung,Palopo,Sulawesi Selatan,Sulawesi,Sagu,Direbus,Sedang,Non-Vegetarian,"Bola-bola sagu dalam kuah asam ikan dengan sayuran. Makanan pokok masyarakat Luwu, Sulawesi Selatan yang mengenyangkan."
Tinutuan,Manado,Sulawesi Utara,Sulawesi,Beras / Sayuran,Direbus,Tidak Pedas,Vegan,"Bubur Manado dari beras yang dimasak dengan berbagai sayuran seperti labu, kangkung, dan jagung. Sehat dan mengenyangkan."
Rica-Rica,Manado,Sulawesi Utara,Sulawesi,Ayam / Ikan,Ditumis,Sangat Pedas,Non-Vegetarian,"Masakan dengan bumbu rica (cabai) yang sangat banyak. Ayam atau ikan ditumis dengan cabai, bawang, dan rempah Manado."
Woku,Manado,Sulawesi Utara,Sulawesi,Ikan,Dimasak dengan bumbu,Pedas,Non-Vegetarian,"Ikan dimasak dengan bumbu woku khas Manado: daun kemangi, daun pandan, cabai, dan rempah segar yang aromatik."
Cakalang Fufu,Manado,Sulawesi Utara,Sulawesi,Ikan Cakalang,Diasap,Tidak Pedas,Non-Vegetarian,"Ikan cakalang yang diasap hingga kering dan berwarna kecoklatan. Bisa dimakan langsung atau diolah menjadi masakan lain."
Sup Brenebon,Manado,Sulawesi Utara,Sulawesi,Kacang Merah / Babi,Direbus,Tidak Pedas,Non-Vegetarian,"Sup kacang merah dengan potongan tulang babi yang kaya protein. Kuah gurih dengan rempah bawang dan daun bawang khas Manado."
Sinonggi,Kendari,Sulawesi Tenggara,Sulawesi,Sagu,Direbus,Tidak Pedas,Vegan,"Olahan sagu berbentuk seperti agar-agar yang disantap dengan kuah ikan atau sayuran. Makanan pokok suku Tolaki di Sultra."
Lapa-Lapa,Kendari,Sulawesi Tenggara,Sulawesi,Beras Ketan,Dikukus,Tidak Pedas,Vegan,"Beras ketan yang dimasak dalam bungkus daun kelapa muda. Makanan tradisional Sulawesi Tenggara untuk upacara adat."
Palumara,Palu,Sulawesi Tengah,Sulawesi,Ikan,Direbus,Pedas,Non-Vegetarian,"Sup ikan dengan kuah asam segar dari asam jawa dan cabai. Hidangan tradisional Palu yang ringan namun sarat rempah."
Kaledo,Palu,Sulawesi Tengah,Sulawesi,Kaki Sapi,Direbus,Tidak Pedas,Non-Vegetarian,"Sup kaki sapi dalam kuah asam dari asam jawa. Kolagen tinggi dengan rasa asam segar khas kuliner Palu, Sulawesi Tengah."
Sambal Dabu-Dabu,Manado,Sulawesi Utara,Sulawesi,Cabai / Tomat,Tidak Dimasak,Sangat Pedas,Vegan,"Sambal mentah dari tomat, cabai, bawang merah, dan kemangi yang dipotong kasar. Segar, pedas, dan aromatik khas Manado."
Papeda,Jayapura,Papua,Papua,Sagu,Direbus,Tidak Pedas,Vegan,"Bubur sagu kental dan kenyal yang lengket. Disantap bersama kuah kuning ikan tongkol atau kuah sayuran. Makanan pokok Papua."
Ikan Bakar Manokwari,Manokwari,Papua Barat,Papua,Ikan,Dibakar,Pedas,Non-Vegetarian,"Ikan dibakar dengan bumbu rica khas Papua Barat. Disajikan dengan sambal cabai hijau segar dan nasi atau papeda."
Sagu Lempeng,Jayapura,Papua,Papua,Sagu,Dipanggang,Tidak Pedas,Vegan,"Sagu yang dibentuk menjadi lempengan keras dan dipanggang. Makanan tradisional tahan lama suku-suku di pedalaman Papua."
Aunu Senebre,Jayapura,Papua,Papua,Talas / Ikan Teri,Ditumis / Dikukus,Tidak Pedas,Non-Vegetarian,"Daun talas muda dicampur ikan teri dan parutan kelapa lalu dikukus. Masakan tradisional Papua yang sederhana dan bergizi."
Kue Lontar,Papua,Papua,Papua,Tepung / Telur / Susu,Dipanggang,Tidak Pedas,Vegetarian,"Kue pai berbentuk mangkok dari campuran tepung, telur, susu, dan vanili. Kue tradisional Papua yang manis dan lembut."
Nasi Kuning,Samarinda,Kalimantan Timur,Kalimantan,Beras / Kunyit,Dikukus,Tidak Pedas,Vegan,"Nasi yang dimasak dengan santan dan kunyit hingga berwarna kuning. Disajikan dengan lauk pelengkap, populer di seluruh Kalimantan."
Soto Banjar,Banjarmasin,Kalimantan Selatan,Kalimantan,Ayam,Direbus,Tidak Pedas,Non-Vegetarian,"Soto ayam khas Banjar dengan kuah bening berbumbu rempah halus. Disajikan dengan ketupat, perkedel, dan sate."
Ketupat Kandangan,Kandangan,Kalimantan Selatan,Kalimantan,Beras / Ikan,Direbus,Sedang,Non-Vegetarian,"Ketupat nasi dengan kuah santan dan ikan gabus goreng. Berbeda dengan soto Banjar karena menggunakan ikan, bukan ayam."
Pais Ikan,Banjarmasin,Kalimantan Selatan,Kalimantan,Ikan,Dibungkus dan Dipanggang,Pedas,Non-Vegetarian,"Ikan berbumbu yang dibungkus daun pisang lalu dipanggang. Bumbu khas Banjar dengan lengkuas, kunyit, dan cabai."
Mandai,Banjarmasin,Kalimantan Selatan,Kalimantan,Cempedak,Difermentasi / Digoreng,Tidak Pedas,Vegan,"Kulit cempedak yang difermentasi lalu digoreng. Camilan unik khas Kalimantan Selatan dengan tekstur renyah dan rasa asam gurih."
Juhu Singkah,Palangkaraya,Kalimantan Tengah,Kalimantan,Rebung,Dimasak dengan santan,Tidak Pedas,Vegan,"Rebung bambu muda dimasak dalam kuah santan dengan bumbu rempah. Hidangan tradisional Dayak yang lembut dan gurih."
Kalumpe,Palangkaraya,Kalimantan Tengah,Kalimantan,Daun Singkong,Ditumbuk / Dimasak,Tidak Pedas,Vegan,"Daun singkong ditumbuk kasar lalu dimasak dengan santan dan rempah. Lauk sayur khas Dayak Kalimantan Tengah."
Bubur Pedas,Sambas,Kalimantan Barat,Kalimantan,Beras / Sayuran,Direbus,Pedas,Vegan,"Bubur beras dengan beragam sayuran dan rempah-rempah. Hidangan tradisional Melayu Sambas yang biasa disajikan saat acara adat."
Pengkang,Pontianak,Kalimantan Barat,Kalimantan,Beras Ketan / Udang,Dipanggang,Tidak Pedas,Non-Vegetarian,"Beras ketan berisi ebi atau udang yang dibungkus daun nipah lalu dipanggang. Jajanan khas Pontianak berbentuk kerucut."
Chai Kwe,Pontianak,Kalimantan Barat,Kalimantan,Tepung Beras / Sayuran,Dikukus / Digoreng,Tidak Pedas,Vegan,"Dimsum khas Tionghoa-Pontianak berisi bengkuang, kucai, atau keladi yang dibungkus kulit tepung tipis."
Mie Kepiting,Pontianak,Kalimantan Barat,Kalimantan,Kepiting,Direbus,Tidak Pedas,Non-Vegetarian,"Mie kuning dengan kepiting segar dalam kuah kaldu gurih. Kuliner Pontianak yang dipengaruhi tradisi Tionghoa Hakka."
Nasi Bakar,Tarakan,Kalimantan Utara,Kalimantan,Beras / Ikan,Dibungkus dan Dibakar,Sedang,Non-Vegetarian,"Nasi dicampur bumbu dan ikan lalu dibungkus daun pisang dan dibakar. Aroma harum daun pisang meresap ke dalam nasi."
Sate Maranggi,Purwakarta,Jawa Barat,Jawa,Daging Sapi / Kambing,Dibakar,Tidak Pedas,Non-Vegetarian,"Sate dengan daging yang dimarinasi bumbu khas dan dibakar. Disajikan tanpa saus kacang, hanya dengan sambal oncom atau dabu-dabu."
Nasi Timbel,Bandung,Jawa Barat,Jawa,Beras,Dibungkus daun pisang,Tidak Pedas,Non-Vegetarian,"Nasi panas yang dibungkus daun pisang sehingga harum. Disajikan dengan lauk ayam goreng, ikan asin, tahu, tempe, dan sambal."
Karedok,Bandung,Jawa Barat,Jawa,Sayuran Mentah,Tidak Dimasak,Tidak Pedas,Vegan,"Sayuran mentah segar dengan saus kacang berbumbu kencur. Mirip gado-gado tapi semua bahan mentah, khas Sunda."
Peuyeum,Bandung,Jawa Barat,Jawa,Singkong,Difermentasi,Tidak Pedas,Vegan,"Singkong yang difermentasi dengan ragi hingga manis dan sedikit beralkohol. Camilan tradisional Sunda yang unik."
Serabi Notosuman,Solo,Jawa Tengah,Jawa,Tepung Beras,Dimasak di atas tungku,Tidak Pedas,Vegetarian,"Kue serabi tipis dengan tepung beras dan santan yang dimasak di wajan tanah liat kecil. Ada rasa original dan coklat."
Lumpia Semarang,Semarang,Jawa Tengah,Jawa,Rebung / Udang,Digoreng,Tidak Pedas,Non-Vegetarian,"Lumpia berisi rebung, telur, dan udang yang digoreng renyah. Khas Semarang dengan saus kental manis dan acar bawang."
Wingko Babat,Semarang,Jawa Tengah,Jawa,Kelapa / Ketan,Dipanggang,Tidak Pedas,Vegan,"Kue bulat dari kelapa parut dan tepung ketan yang dipanggang. Oleh-oleh klasik dari Semarang yang manis dan legit."
Tumpeng,Nationwide (asal Jawa),Jawa Tengah,Jawa,Beras / Beragam Lauk,Dikukus,Tidak Pedas,Non-Vegetarian,"Nasi kuning berbentuk kerucut dikelilingi beragam lauk. Simbol syukur dalam upacara adat Jawa, kini populer di seluruh Indonesia."
Klepon,Nationwide (asal Jawa),Jawa Tengah,Jawa,Tepung Ketan,Direbus,Tidak Pedas,Vegan,"Bola hijau dari tepung ketan berisi gula merah cair, dibalut kelapa parut. Kue tradisional yang meledak di mulut."
Onde-Onde,Nationwide (asal Jawa),Jawa Timur,Jawa,Tepung Ketan / Kacang Hijau,Digoreng,Tidak Pedas,Vegan,"Bola goreng dari tepung ketan berisi pasta kacang hijau, dibalut wijen. Dipengaruhi kuliner Tionghoa, populer di Jawa."
Tahu Tek,Surabaya,Jawa Timur,Jawa,Tahu,Digoreng,Sedang,Vegan,"Tahu goreng yang dipotong dengan gunting, disajikan dengan lontong, tauge, dan bumbu petis kacang khas Surabaya."
Nasi Pecel Madiun,Madiun,Jawa Timur,Jawa,Sayuran,Direbus,Sedang,Vegan,"Sayuran rebus dengan sambal pecel berbumbu kacang, kencur, dan asam. Sambal Madiun dikenal lebih harum dari pecel daerah lain."
Tahu Campur,Lamongan,Jawa Timur,Jawa,Tahu / Jeroan,Direbus,Sedang,Non-Vegetarian,"Lontong dengan tahu goreng, mie kuning, perkedel singkong, dan jeroan dalam kuah petis yang kaya rempah."
Kerupuk Udang,Sidoarjo,Jawa Timur,Jawa,Udang,Digoreng,Tidak Pedas,Non-Vegetarian,"Kerupuk dari adonan udang dan tepung yang digoreng hingga mengembang renyah. Sidoarjo adalah produsen kerupuk udang terbesar."
Ikan Woku Belanga,Manado,Sulawesi Utara,Sulawesi,Ikan Kakap,Dimasak dalam belanga,Pedas,Non-Vegetarian,"Ikan kakap dimasak dalam belanga tanah liat dengan bumbu woku lengkap: serai, kemangi, kunyit, dan banyak cabai."
Gohu Ikan,Ternate,Maluku Utara,Maluku,Ikan Tuna,Tidak Dimasak (sashimi),Pedas,Non-Vegetarian,"Ikan tuna segar dipotong dadu dan dicampur bumbu pedas tanpa dimasak. Sashimi ala Maluku Utara yang segar dan berani."
Ikan Kuah Kuning,Ambon,Maluku,Maluku,Ikan,Direbus,Sedang,Non-Vegetarian,"Ikan dalam kuah santan kuning dengan kunyit, serai, dan kemangi. Masakan sehari-hari yang ringan dan menyegarkan dari Maluku."
